,Unnamed: 0,headline,url,publisher,date,stock
1339727,1342821,Domino's And Papa John's Face Major Threat As Pizza Industry Is Set To Change,http://seekingalpha.com/article/3995685-dominos-papa-johns-face-major-threat-pizza-industry-set-change?source=partner_benzinga,Seeking Alpha,2016-08-04 00:00:00,PZZA
706029,707689,GameStop near Support,http://www.tradershuddle.com/Trading-Ideas/66063905172013-gamestop-near-support.html,Traders Huddle,2013-05-17 00:00:00,GME
1081872,1084403,Apple: A Top Fidelity Manager Sticks By The Stock,http://news.investors.com/070715-760537-moves-by-a-top-fidelity-fund-manager.htm?ven=benzingacp&src=aurlaam,Investor's Business Daily,2015-07-07 00:00:00,MNST
609122,610552,"Ex-Dividend Stocks: Intel, Citigroup",https://www.benzinga.com/content/thestreet-com/12/05/2549368/ex-dividend-stocks-intel-citigroup,webmaster,2012-05-02 00:00:00,FE
1810263,1814548,Border tax seen as a profit headwind for major retailers,http://seekingalpha.com/news/3233831-border-tax-seen-profit-headwind-major-retailers?source=partner_benzinga,Seeking Alpha,2017-01-06 00:00:00,XLY
657111,658612,REITs: Something to Build On - Zacks Analyst Interviews,http://www.zacks.com/commentary/32973/reits-something-to-build-on,Zacks,2014-06-12 00:00:00,FUR
1336671,1339762,What's Next For Oil?,http://seekingalpha.com/article/3974958-next-oil?source=partner_benzinga,Seeking Alpha,2016-05-13 00:00:00,PXD
1650698,1654552,Paramount to Trim Jobs - Analyst Blog,http://www.zacks.com/stock/news/110869/paramount-to-trim-jobs,Zacks,2013-10-03 00:00:00,TWC
480654,481846,Investors Walking Dead,http://seekingalpha.com/article/3743506-investors-walking-dead?source=partner_benzinga,Seeking Alpha,2015-12-09 00:00:00,DXJ
831571,833515,"ROSEN, A LEADING LAW FIRM, Reminds International Flavors & Fragrances Inc. ...",https://www.benzinga.com/node/14550211,GuruFocus,2019-10-05 00:00:00,IFF
266219,266904,Crown Castle declares $0.885 dividend,http://seekingalpha.com/news/3184894-crown-castle-declares-0_885-dividend?source=partner_benzinga,Seeking Alpha,2016-05-20 00:00:00,CCI
1226031,1228895,Amazon Now Charging Sales Taxes In Three More States,http://news.investors.com/010214-684828-more-states-added-to-list-charging-amazon-sales-taxed.htm?ven=benzingacp&src=aurlaam,Investor's Business Daily,2014-01-02 00:00:00,OSTK
1115632,1118242,BlackRock threatens buyers strike for Illinois debt,http://seekingalpha.com/news/3187875-blackrock-threatens-buyers-strike-illinois-debt?source=partner_benzinga,Seeking Alpha,2016-06-08 00:00:00,MUB
201454,201980,Stocks Showing Improved Relative Strength: BankUnited,http://www.investors.com/ibd-data-stories/stocks-showing-improved-relative-strength-bankunited/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2019-12-18 00:00:00,BKU
1339811,1342905,10 Stocks Delivering Good News With Higher Dividends,http://seekingalpha.com/article/3416616-10-stocks-delivering-good-news-with-higher-dividends?source=partner_benzinga,Seeking Alpha,2015-08-07 00:00:00,PZZA
715055,716750,Swiss National Bank Ready To Buy Much More Tech Stocks To Weaken The Franc,https://talkmarkets.com/content/swiss-national-bank-ready-to-buy-much-more-tech-stocks-to-weaken-the-franc?post=263588,TalkMarkets,2020-05-28 00:00:00,GOOGL
1736666,1740760,"Xcel, Duke Boast Yields And Strength",https://www.benzinga.com/content/[field_source-raw]/11/11/2117913/xcel-duke-boast-yields-and-strength,Investor's Business Daily,2011-11-10 00:00:00,VVC
1214218,1217055,"Omeros misses by $0.01, misses on revenue",https://seekingalpha.com/news/3381198-omeros-misses-0_01-misses-revenue?source=partner_benzinga,Seeking Alpha,2018-08-09 00:00:00,OMER
790550,792388,"HP Introduces New 'D Printing Subscriptions, Services, and Partnerships to Accelerate ...",https://www.benzinga.com/node/14799652,GuruFocus,2019-11-13 00:00:00,HPQ
334665,335535,Robo Advice: Why More Human Advisors Are Embracing It,http://news.investors.com/061915-758170-why-robo-advice-is-spreading.htm?ven=benzingacp&src=aurlaam,Investor's Business Daily,2015-06-19 00:00:00,COF
489235,490434,Confident vibe on Brinker International ahead of investor day event,http://seekingalpha.com/news/3187576-confident-vibe-brinker-international-ahead-investor-day-event?source=partner_benzinga,Seeking Alpha,2016-06-07 00:00:00,EAT
392757,393792,Cypress Semiconductor Shows Rising Relative Price Performance; Still Shy Of Key Threshold,http://www.investors.com/ibd-data-stories/cypress-semiconductor-shows-rising-relative-price-performance-still-shy-of-key-threshold/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2019-05-15 00:00:00,CY
783206,785026,Notable earnings before Tuesday's open,http://seekingalpha.com/news/2283316-notable-earnings-before-tuesday-s-open?source=partner_benzinga,Seeking Alpha,2015-02-09 00:00:00,HNT
960418,962657,2008 Redux-Cubed (At Least Cubed)?,https://seekingalpha.com/article/4160415-2008-redux-cubed-least-cubed?source=partner_benzinga,Seeking Alpha,2018-04-02 00:00:00,KRE
1366182,1369353,Dr. Reddy's Laboratories: Should Continue to Gain Market Share in Lucrative Markets,http://www.gurufocus.com/news/178005/dr-reddys-laboratories-should-continue-to-gain-market-share-in-lucrative-markets,GuruFocus,2012-05-25 00:00:00,RDY
1558348,1561990,SunCoke Energy Partners declares $0.594 dividend,http://seekingalpha.com/news/3195644-suncoke-energy-partners-declares-0_594-dividend?source=partner_benzinga,Seeking Alpha,2016-07-25 00:00:00,SXCP
715110,716805,"Stewart Asset Management, LLC Buys Intuitive Surgical Inc, The Walt Disney Co, UnitedHealth ...",http://www.gurufocus.com/news/1137642/stewart-asset-management-llc-buys-intuitive-surgical-inc-the-walt-disney-co-unitedhealth-group-inc-sells-martin-marietta-materials-inc-dominos-pizza-inc-fastenal-co,GuruFocus,2020-05-14 00:00:00,GOOGL
181123,181599,Brookfield Renewable Partners L.P. 2019 Q2 - Results - Earnings Call Slides,https://seekingalpha.com/article/4279451-brookfield-renewable-partners-l-p-2019-q2-results-earnings-call-slides?source=partner_benzinga,Seeking Alpha,2019-07-31 00:00:00,BEP
312593,313399,Clorox cleaned up in Q2,https://www.benzinga.com/content/[field_source-raw]/12/02/2317150/clorox-cleaned-up-in-q2,Investor's Business Daily,2012-02-03 00:00:00,CLX
852011,854012,"Stock Futures Lower amid Growth Worries. Stocks to Watch: AAPL, BAC, FB, HBC, INFY, MAR, MRK, R, SVU",http://www.tradershuddle.com/20120712491915/Stocks/stock-futures-lower-amid-growth-worries-stocks-to-watch-aapl-bac-fb-hbc-infy-mar-mrk-r-svu.html,Traders Huddle,2012-07-12 00:00:00,INFY
1338881,1341975,"Pzena Investment Management, Inc. Announces August '–, —…–9 Assets Under Management",http://www.gurufocus.com/news/943350/pzena-investment-management-inc-announces-august-31-2019-assets-under-management,GuruFocus,2019-09-09 00:00:00,PZN
1090970,1093514,"Dividend Increases: January 28-February 1, 2019 (Part 2: Remaining Sectors)",https://seekingalpha.com/article/4237778-dividend-increases-january-28-february-1-2019-part-2-remaining-sectors?source=partner_benzinga,Seeking Alpha,2019-02-05 00:00:00,MPC
1325406,1328482,Top Silver Mining CEO Makes A Remarkable Price Forecast,http://seekingalpha.com/article/3997082-top-silver-mining-ceo-makes-remarkable-price-forecast?source=partner_benzinga,Seeking Alpha,2016-08-07 00:00:00,PSLV
1784903,1789123,Waterstone Financial Inc. Reports Operating Results (10-Q),http://www.gurufocus.com/news/174527/waterstone-financial-inc-reports-operating-results-10q,GuruFocus,2012-05-04 00:00:00,WSBF
849506,851498,BRIC PMIs Trace Global Economy's Slowdown At The Start Of Q3,https://seekingalpha.com/article/4197507-bric-pmis-trace-global-economys-slowdown-start-q3?source=partner_benzinga,Seeking Alpha,2018-08-10 00:00:00,INDY
45392,45556,Notable earnings after Thursday's close,https://seekingalpha.com/news/3332763-notable-earnings-thursday-s-close?source=partner_benzinga,Seeking Alpha,2018-02-21 00:00:00,AGO
638243,639721,"New High Analysis: Check Point Soars, United Rentals Tests Support",http://www.investors.com/stock-lists/new-highs/new-high-analysis-check-point-soars-united-rentals-tests-support/?ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2017-01-19 00:00:00,FORM
1471295,1474671,A Free Fall Coming For Six Flags Shares,http://seekingalpha.com/article/3325065-a-free-fall-coming-for-six-flags-shares?source=partner_benzinga,Seeking Alpha,2015-07-14 00:00:00,SIX
1032521,1034932,SHAREHOLDER ALERT: CORT AVEO MBT ARA: The Law Offices of Vincent Wong Reminds Investors of ...,http://www.gurufocus.com/news/857850/shareholder-alert-cort-aveo-mbt-ara-the-law-offices-of-vincent-wong-reminds-investors-of-important-class-action-deadlines,GuruFocus,2019-04-19 00:00:00,MBT
77899,78125,Pick These 3 Stocks Over Disney To Profit From The Avengers And Star Wars,http://seekingalpha.com/article/3102666-pick-these-3-stocks-over-disney-to-profit-from-the-avengers-and-star-wars?source=partner_benzinga,Seeking Alpha,2015-04-26 00:00:00,AMC
1511124,1514617,Starboard Value still a force behind Staples,http://seekingalpha.com/news/2421516-starboard-value-still-a-force-behind-staples?source=partner_benzinga,Seeking Alpha,2015-04-10 00:00:00,SPLS
488883,490082,Dave & Buster's (PLAY) Rallies on Q4 Earnings & Revenue Beat,http://www.zacks.com/stock/news/369916/dave-busters-play-rallies-on-q4-earnings-revenue-beat?cid=CS-BENZ-FT-369916,Zacks,2019-04-03 00:00:00,EAT
683126,684735,It's Illogical To Think That Johnson & Johnson Has Dropped Geron,https://seekingalpha.com/article/4168159-illogical-think-johnson-and-johnson-dropped-geron?source=partner_benzinga,Seeking Alpha,2018-05-01 00:00:00,GERN
1436376,1439704,Forest Labs Soars on Aptalis Deal - Analyst Blog,http://www.zacks.com/stock/news/119182/forest-labs-soars-on-aptalis-deal,Zacks,2014-01-09 00:00:00,SCMP
823851,825763,"Iconix Brand beats by $0.06, misses on revenue",https://seekingalpha.com/news/3319934-iconix-brand-beats-0_06-misses-revenue?source=partner_benzinga,Seeking Alpha,2017-12-22 00:00:00,ICON
1182187,1184959,MedTech M&As Continue Regardless of Tax Scenarios - Industry Outlook,http://www.zacks.com/commentary/39504/medtech-mas-continue-regardless-of-tax-scenarios,Zacks,2015-03-26 00:00:00,NUVA
612453,613889,Coffee Holding and Fuwei Films among consumer gainers; The Boston Beer Company in loser,https://seekingalpha.com/news/3448769-coffee-holding-fuwei-films-among-consumer-gainers-boston-beer-company-loser?source=partner_benzinga,Seeking Alpha,2019-04-05 00:00:00,FFHL
39493,39642,"Global Adhesives & Sealants Market Analysis of Sales, Revenue by Key Players Till —…—7",http://www.gurufocus.com/news/883753/global-adhesives--sealants-market-analysis-of-sales-revenue-by-key-players-till-2027,GuruFocus,2019-05-23 00:00:00,AG
958481,960717,March Sales Soft: Zacks Profitable Mix Picks 3 Solid Retailers - Analyst Blog,http://www.zacks.com/stock/news/170345/march-sales-soft-zacks-profitable-mix-picks-3-solid-retailers,Zacks,2015-04-10 00:00:00,KR
1048298,1050749,Major Averages' Gains Fade; Lithia Soars On Acquisition,http://news.investors.com/061614-704823-stocks-modestly-lower-amid-flurry-of-deal-making.htm?ven=benzingacp&src=aurlaam,Investor's Business Daily,2014-06-16 00:00:00,MDT
369593,370564,GE Boosts Cerapedics' Liquidity - Analyst Blog,http://www.zacks.com/stock/news/133417/ge-boosts-cerapedics-liquidity,Zacks,2014-05-13 00:00:00,CSL
1187079,1189871,From 62 To 5: Dividend Growth Utilities To Consider,https://seekingalpha.com/article/4170645-62-5-dividend-growth-utilities-consider?source=partner_benzinga,Seeking Alpha,2018-05-07 00:00:00,NWE
366779,367744,"Mariko Gordon Closes Positions in Red Robin, Natus Medical",http://www.gurufocus.com/news/686464/mariko-gordon-closes-positions-in-red-robin-natus-medical,GuruFocus,2018-05-23 00:00:00,CSGP
282640,283377,Stocks Rise In Mixed Trade As Fed Tapering Fears Ease,http://news.investors.com/article/668595/082313/stocks-rise-volume-mixed.htm?ven=benzingacp&src=aurlaam,Investor's Business Daily,2013-08-23 00:00:00,CHA
27278,27405,Advaxis prices equity offering; shares down 32%,https://seekingalpha.com/news/3388737-advaxis-prices-equity-offering-shares-32-percent?source=partner_benzinga,Seeking Alpha,2018-09-07 00:00:00,ADXS
999613,1001931,AGCO Signs Deal With Digital Agriculture Firm Solinftec,http://www.zacks.com/stock/news/362613/agco-signs-deal-with-digital-agriculture-firm-solinftec?cid=CS-BENZ-FT-362613,Zacks,2019-03-21 00:00:00,LNN
918846,921018,"Citigroup, Goldman Sachs Eye Breakouts With Earnings Due: Investing Action Plan",http://www.investors.com/research/investing-action-plan/citigroup-stock-goldman-sachs-stock-eye-buy-points-q3-2019-bank-earnings/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2019-10-14 00:00:00,JPM
27486,27613,ZELTIQ (ZLTQ) Worth Watching: Stock Soars 19.9% - Tale of the Tape,http://www.zacks.com/stock/news/119998/shares-of-zeltiq-aesthetics-rose-nearly-20-in-the-last-session,Zacks,2014-01-17 00:00:00,ADXS
521369,522640,"eBay, CBS: New Targets, Estimates",https://www.benzinga.com/content/thestreet-com/11/02/869857/ebay-cbs-new-targets-estimates,webmaster,2011-02-17 00:00:00,EMN
66681,66888,"GVO Asset Management Ltd Buys Bank of America Corporation, Visa Inc, Nike Inc, Sells Wells ...",http://www.gurufocus.com/news/590812/gvo-asset-management-ltd-buys-bank-of-america-corporation-visa-inc-nike-inc-sells-wells-fargo-alphabet-inc-mastercard-inc,GuruFocus,2017-11-07 00:00:00,ALK
681491,683100,"Marquette Asset Management Inc. Buys JPMorgan Chase Capital XVI JP Morgan Alerian MLP E, ...",http://www.gurufocus.com/news/621765/marquette-asset-management-inc-buys-jpmorgan-chase-capital-xvi-jp-morgan-alerian-mlp-e-microsoft-corp-sells-oneok-inc-buckeye-partners-lp-williams-partners-lp,GuruFocus,2018-01-10 00:00:00,GEL
1402383,1405646,"R.R. Donnelley & Sons EPS in-line, beats on revenue",https://seekingalpha.com/news/3402875-r-r-donnelley-and-sons-eps-line-beats-revenue?source=partner_benzinga,Seeking Alpha,2018-10-30 00:00:00,RRD
1587625,1591336,It Is Unlikely That Zoomlion Would Be Able To Buy Terex,http://seekingalpha.com/article/3850366-unlikely-zoomlion-able-buy-terex?source=partner_benzinga,Seeking Alpha,2016-01-31 00:00:00,TEX
1297820,1300819,Chain store sales accelerate in latest reading,http://seekingalpha.com/news/3168934-chain-store-sales-accelerate-latest-reading?source=partner_benzinga,Seeking Alpha,2016-03-22 00:00:00,PMR
508896,510143,Crash Protection For Eldorado Gold,https://seekingalpha.com/article/4288943-crash-protection-eldorado-gold?source=partner_benzinga,Seeking Alpha,2019-08-30 00:00:00,EGO
481182,482374,Asia-Pacific Calendar: The Week Ahead,https://seekingalpha.com/article/4187125-asia-pacific-calendar-week-ahead?source=partner_benzinga,Seeking Alpha,2018-07-13 00:00:00,DXJR
669438,671010,Japan - Natural Gas Demand Will Grow,http://seekingalpha.com/article/3730986-japan-natural-gas-demand-will-grow?source=partner_benzinga,Seeking Alpha,2015-12-03 00:00:00,GAZ
950540,952756,NN Inc.: A Deeply Distressed Valuation Creates A Buying Opportunity,https://seekingalpha.com/article/4223486-nn-inc-deeply-distressed-valuation-creates-buying-opportunity?source=partner_benzinga,Seeking Alpha,2018-11-20 00:00:00,KMT
1644653,1648497,Dosing commences in Tetraphase's late-stage study of eravacycline in complicated intra-abdominal infections,http://seekingalpha.com/news/3214356-dosing-commences-tetraphases-late-stage-study-eravacycline-complicated-intra-abdominal?source=partner_benzinga,Seeking Alpha,2016-10-17 00:00:00,TTPH
73939,74151,Alcatel-Lucent is a Good Turnaround Play,http://www.gurufocus.com/news/293463/alcatellucent-is-a-good-turnaround-play,GuruFocus,2014-11-17 00:00:00,ALU
166103,166546,Itau Unibanco of Brazil to Shut Down 400 Branches,http://www.zacks.com/stock/news/414109/itau-unibanco-of-brazil-to-shut-down-400-branches?cid=CS-BENZ-FT-414109,Zacks,2019-05-14 00:00:00,BBD
1404941,1408208,RadioShack Corp. Reports Operating Results (10-Q),http://www.gurufocus.com/news/183525/radioshack-corp-reports-operating-results-10q,GuruFocus,2012-07-25 00:00:00,RSH
77127,77349,DTS Inc. (DTSI) Jumps: Stock Moves 6.1% Higher - Tale of the Tape,http://www.zacks.com/stock/news/138764/dts-inc-adds-615-in-session,Zacks,2014-07-02 00:00:00,AMBR
619629,621081,Preschool Market in India Market Size —…—… Expected to Growth CAGR of almost –8% ...,http://www.gurufocus.com/news/1047613/preschool-market-in-india-market-size-2020-expected-to-growth-cagr-of-almost-18-industry-revenue-by-key-regions-top-companies-business-statistics-development-forecast-by-2024-ndash-industry-researchco,GuruFocus,2020-02-22 00:00:00,FIVE
494025,495236,"Three Small Cap Waste or Environmental Services Stocks Worth a Closer Look (ECOL, CWST & CESX)",http://www.smallcapnetwork.com/Three-Small-Cap-Waste-or-Environmental-Services-Stocks-Worth-a-Closer-Look-ECOL-CWST-CESX/s/via/3414/article/view/p/mid/1/id/2112/,Small Cap Network,2015-04-16 00:00:00,ECOL
63982,64181,Why Align Technology (ALGN) is Poised to Beat Earnings Estimates Again,http://www.zacks.com/stock/news/284927/why-align-technology-algn-is-poised-to-beat-earnings-estimates-again?cid=CS-BENZ-FT-284927,Zacks,2017-12-05 00:00:00,ALGN
4093,4156,"Tredje AP-fonden Buys Microsoft Corp, Amazon.com Inc, Apple Inc, Sells iShares U.S. ...",http://www.gurufocus.com/news/1149522/tredje-apfonden-buys-microsoft-corp-amazoncom-inc-apple-inc-sells-ishares-us-healthcare-exxon-mobil-corp-chevron-corp,GuruFocus,2020-05-28 00:00:00,AAPL
464342,465504,"Biotech Stock Mailbag: Cyclacel Fallout, the Skinny on Vivus, Celldex's Crash",http://www.thestreet.com/story/11440846/1/biotech-stock-mailbag-cyclacel-fallout-the-skinny-on-vivus-celldexs-crash.html?puc=benzinga&cm_ven=BENZINGA,TheStreet.Com,2012-03-02 00:00:00,DSCO
1235096,1237987,Spot Gold Prices Claw Higher,https://www.benzinga.com/content/thestreet-com/10/11/611876/spot-gold-prices-claw-higher,webmaster,2010-11-15 00:00:00,PAAS
563961,565316,3 Political Scenarios For Italy With FX And Rates Implications,https://seekingalpha.com/article/4284275-3-political-scenarios-italy-fx-rates-implications?source=partner_benzinga,Seeking Alpha,2019-08-10 00:00:00,EUO
174444,174901,Bard Short term Bullish Reversal,http://www.tradershuddle.com/20130108586485/Candlesticks/crbard-short-term-bullish-reversal.html,Traders Huddle,2013-01-08 00:00:00,BCR
384787,385800,ABCO Posts Solid 4Q and FY2013 Earnings - Analyst Blog,http://www.zacks.com/stock/news/99206/abco-posts-solid-4q-and-fy2013-earnings,Zacks,2013-05-13 00:00:00,CVD
744527,746267,Airline stocks grounded on capacity concerns,http://seekingalpha.com/news/2569576-airline-stocks-grounded-on-capacity-concerns?source=partner_benzinga,Seeking Alpha,2015-06-09 00:00:00,HA
715188,716883,"GFS Advisors, LLC Buys SPDR S&P 5……, Byline Bancorp Inc, SPDR Dow Jones Industrial ...",http://www.gurufocus.com/news/1126760/gfs-advisors-llc-buys-spdr-sp-500-byline-bancorp-inc-spdr-dow-jones-industrial-average-sells-cemex-sab-de-cv-amazoncom-inc-ishares-sp-100,GuruFocus,2020-05-05 00:00:00,GOOGL
665716,667272,Investor Optimism Carries Into The New Week,https://seekingalpha.com/article/4302110-investor-optimism-carries-new-week?source=partner_benzinga,Seeking Alpha,2019-11-04 00:00:00,FXS
1753872,1758010,Results May Separate Brocade From The Boys,http://seekingalpha.com/article/4001313-results-may-separate-brocade-boys?source=partner_benzinga,Seeking Alpha,2016-08-22 00:00:00,WDC
585205,586594,First American Financial Corp (FAF) Files –…-K for the Fiscal Year Ended on December ...,http://www.gurufocus.com/news/642739/first-american-financial-corp-faf-files-10k-for-the-fiscal-year-ended-on-december-31-2017,GuruFocus,2018-02-16 00:00:00,FAF
927109,929289,Notable earnings after Tuesday's close,http://seekingalpha.com/news/3244599-notable-earnings-tuesday-s-close?source=partner_benzinga,Seeking Alpha,2017-02-20 00:00:00,KAR
1668770,1672693,Smith & Wesson Scales a 52-Week High - Analyst Blog,http://www.zacks.com/stock/news/135936/smith-wesson-scales-a-52-week-high,Zacks,2014-06-05 00:00:00,UEPS
1151731,1154431,NiSource Board Approves Columbia Pipeline Group Spinoff - Analyst Blog,http://www.zacks.com/stock/news/177165/nisource-board-approves-columbia-pipeline-group-spinoff?cid=CS-BENZ-FT-177165,Zacks,2015-06-04 00:00:00,NI
1324803,1327879,Friday's Upside Move In Gold Likely Unsustainable,https://seekingalpha.com/article/4202209-fridays-upside-move-gold-likely-unsustainable?source=partner_benzinga,Seeking Alpha,2018-08-27 00:00:00,PSLV
1152452,1155157,Nice Systems buying customer analytics software firm Nexidia for $135M,http://seekingalpha.com/news/3024076-nice-systems-buying-customer-analytics-software-firm-nexidia-for-135m?source=partner_benzinga,Seeking Alpha,2016-01-11 00:00:00,NICE
1462894,1466264,"Signet Stock Shines, Q4 Stands Out Vs. Tiffany's",http://news.investors.com/032615-745235-signet-jewelers-reports-earnings-sales-results.htm?ven=benzingacp&src=aurlaam,Investor's Business Daily,2015-03-26 00:00:00,SIG
1145345,1148022,"Minerva Neurosciences Inc (Nasdaq:NERV) MIN-301 Analog Improves Parkinsonian Symptoms in Primates, InspireMD Inc (NYSEMKT:NSPR) Robust Sequential Revenue Growth",http://www.smallcapnetwork.com/Minerva-Neurosciences-Inc-Nasdaq-NERV-MIN-301-Analog-Improves-Parkinsonian-Symptoms-in-Primates-InspireMD-Inc-NYSEMKT-NSPR-Robust-Sequential-Revenue-Growth/s/via/26106/article/view/p/mid/1/id/387/,Small Cap Network,2015-01-05 00:00:00,NERV
699237,700884,"Diodes, Lyondell Near Buy Points Despite Correction",http://news.investors.com/041714-697591-several-spotlight-stocks-near-buy-points.htm?ven=benzingacp&src=aurlaam,Investor's Business Daily,2014-04-17 00:00:00,GLOG
902635,904763,"KBR Surges More Than 61% YTD, Outperforms Peers & S&P 500",http://www.zacks.com/stock/news/434565/kbr-surges-more-than-61-ytd-outperforms-peers-sp-500?cid=CS-BENZ-FT-434565,Zacks,2019-06-26 00:00:00,JEC
882185,884270,"'End Of The Game' Near As Corporate Defaults Surge Across The Globe, Says Expert",http://seekingalpha.com/article/3989306-end-game-near-corporate-defaults-surge-across-globe-says-expert?source=partner_benzinga,Seeking Alpha,2016-07-19 00:00:00,IVH
584264,585637,Second Sight Medical Products (EYES) Just Became a Buy,http://www.smallcapnetwork.com/Second-Sight-Medical-Products-EYES-Just-Became-a-Buy/s/via/10/article/view/p/mid/3/id/644/,Small Cap Network,2016-02-29 00:00:00,EYES
1632401,1636210,Tractor Supply Reward-Risk Balanced - Analyst Blog,http://www.zacks.com/stock/news/122586/tractor-supply-reward-risk-balanced,Zacks,2014-02-10 00:00:00,TSCO
233608,234223,TheStreet Ratings Top 10 Rating Changes,http://www.thestreet.com/story/11558353/1/thestreet-ratings-top-10-rating-changes.html?puc=benzinga&cm_ven=BENZINGA,TheStreet.Com,2012-05-29 00:00:00,BTE
1294831,1297819,Plug Power (PLUG) Stock Sinks As Market Gains: What You Should Know,http://www.zacks.com/stock/news/721413/plug-power-plug-stock-sinks-as-market-gains-what-you-should-know?cid=CS-BENZ-FT-tale_of_the_tape|yseop_template_6v1-721413,Zacks,2020-01-16 00:00:00,PLUG
1174264,1177024,Is NAPCO Security Technologies (NSSC) Stock Outpacing Its Industrial Products Peers This Year?,http://www.zacks.com/stock/news/438159/is-napco-security-technologies-nssc-stock-outpacing-its-industrial-products-peers-this-year?cid=CS-BENZ-FT-438159,Zacks,2019-07-04 00:00:00,NSSC
365732,366693,More Insurance Deals for CSC - Analyst Blog,https://www.benzinga.com/content/zacks-investment-research-all-commentary-articles/11/04/971675/more-insurance-deals-for-csc-,webmaster,2011-04-01 00:00:00,CSC
1088512,1091050,"Housing Bust 2? Subprime No-Down-Payment Mortgages Surge, 'Shadow Banks' Dominate",http://seekingalpha.com/article/4014973-housing-bust-2-subprime-payment-mortgages-surge-shadow-banks-dominate?source=partner_benzinga,Seeking Alpha,2016-10-26 00:00:00,MORT
728488,730211,Uber closes -7.6% on first day trading,https://seekingalpha.com/news/3462705-uber-closes-minus-7_6-percent-first-day-trading?source=partner_benzinga,Seeking Alpha,2019-05-10 00:00:00,GRUB
470773,471947,Duke Energy Corporation - Attractive Prospects,http://seekingalpha.com/article/4029126-duke-energy-corporation-attractive-prospects?source=partner_benzinga,Seeking Alpha,2016-12-08 00:00:00,DUK
1127231,1129867,Nordic American Tankers Limited (NYSE: NAT) - New suezmax vessel delivered to NAT today - ...,http://www.gurufocus.com/news/731837/nordic-american-tankers-limited-nyse-nat--new-suezmax-vessel-delivered-to-nat-today--impacting-earnings-and-dividend-capacity-positively,GuruFocus,2018-08-31 00:00:00,NAT
28999,29127,"Aegion Declares Preliminary '17 Results, '18 Guidance Upbeat",http://www.zacks.com/stock/news/292736/aegion-declares-preliminary-17-results-18-guidance-upbeat?cid=CS-BENZ-FT-292736,Zacks,2018-02-16 00:00:00,AEGN
387715,388736,Tesoro Beats Q2 Earnings on Improved Margin from Refining - Analyst Blog,http://www.zacks.com/stock/news/185331/tesoro-beats-q2-earnings-on-improved-margin-from-refining?cid=CS-BENZ-FT-185331,Zacks,2015-08-06 00:00:00,CVRR
645167,646649,First Republic Posts In-Line Earnings - Analyst Blog,http://www.zacks.com/stock/news/120057/first-republic-posts-in-line-earnings,Zacks,2014-01-17 00:00:00,FRC
